invoice_id,vendor_id,invoice_number,invoice_date,invoice_total,payment_total,credit_total,terms_id,invoice_due_date,payment_date
36,121,97/465,2018-05-25,565.15,565.15,0.00,3,2018-06-24,2018-06-24
37,123,963253260,2018-05-25,36.00,36.00,0.00,3,2018-06-24,2018-06-26
38,123,963253272,2018-05-26,61.50,61.50,0.00,3,2018-06-25,2018-06-30
39,110,0-2058,2018-05-28,37966.19,37966.19,0.00,3,2018-06-27,2018-06-30
40,121,97/503,2018-05-30,639.77,639.77,0.00,3,2018-06-29,2018-06-25
41,123,963253255,2018-05-31,53.75,53.75,0.00,3,2018-06-30,2018-06-27
42,123,94007069,2018-05-31,400.00,400.00,0.00,3,2018-06-30,2018-07-01
43,72,40318,2018-06-01,21842.00,21842.00,0.00,3,2018-07-01,2018-06-29
44,95,111-92R-10094,2018-06-01,19.67,19.67,0.00,2,2018-06-21,2018-06-24
45,122,989319-437,2018-06-01,2765.36,2765.36,0.00,3,2018-07-01,2018-06-28
46,37,547481328,2018-06-03,224.00,224.00,0.00,3,2018-07-03,2018-07-04
47,83,31359783,2018-06-03,1575.00,1575.00,0.00,2,2018-06-23,2018-06-21
48,123,1-202-2978,2018-06-03,33.00,33.00,0.00,3,2018-07-03,2018-07-05
49,95,111-92R-10097,2018-06-04,16.33,16.33,0.00,2,2018-06-24,2018-06-26
50,37,547479217,2018-06-07,116.00,116.00,0.00,3,2018-07-07,2018-07-07
51,122,989319-477,2018-06-08,2184.11,2184.11,0.00,3,2018-07-08,2018-07-08
52,34,Q545443,2018-06-09,1083.58,1083.58,0.00,1,2018-06-19,2018-06-23
53,95,111-92R-10092,2018-06-09,46.21,46.21,0.00,2,2018-06-29,2018-07-02
54,121,97/553B,2018-06-10,313.55,313.55,0.00,3,2018-07-10,2018-07-09
55,123,963253245,2018-06-10,40.75,40.75,0.00,3,2018-07-10,2018-07-12
56,86,367447,2018-06-11,2433.00,2433.00,0.00,1,2018-06-21,2018-06-17
57,103,75C-90227,2018-06-11,1367.50,1367.50,0.00,5,2018-07-31,2018-07-31
58,123,963253256,2018-06-11,53.25,53.25,0.00,3,2018-07-11,2018-07-07
59,123,4-314-3057,2018-06-11,13.75,13.75,0.00,3,2018-07-11,2018-07-15
60,122,989319-497,2018-06-12,2312.20,2312.20,0.00,3,2018-07-12,2018-07-09
61,115,24946731,2018-06-15,25.67,25.67,0.00,4,2018-07-25,2018-07-26
62,123,963253269,2018-06-15,26.75,26.75,0.00,3,2018-07-15,2018-07-11
63,122,989319-427,2018-06-16,2115.81,2115.81,0.00,3,2018-07-16,2018-07-19
64,123,963253267,2018-06-17,23.50,23.50,0.00,3,2018-07-17,2018-07-19
65,99,509786,2018-06-18,6940.25,6940.25,0.00,3,2018-07-18,2018-07-15
66,123,263253253,2018-06-18,31.95,31.95,0.00,3,2018-07-18,2018-07-21
67,122,989319-487,2018-06-20,1927.54,1927.54,0.00,3,2018-07-20,2018-07-18
68,81,MABO1489,2018-06-21,936.93,936.93,0.00,2,2018-07-11,2018-07-10
69,80,133560,2018-06-22,175.00,175.00,0.00,2,2018-07-12,2018-07-16
70,115,24780512,2018-06-22,6.00,6.00,0.00,4,2018-08-01,2018-07-29
71,123,963253254,2018-06-22,108.50,108.50,0.00,3,2018-07-22,2018-07-20
72,123,43966316,2018-06-22,10.00,10.00,0.00,3,2018-07-22,2018-07-17
73,114,CBM9920-M-T77109,2018-06-23,290.00,290.00,0.00,1,2018-07-03,2018-06-29
74,102,109596,2018-06-24,41.80,41.80,0.00,4,2018-08-03,2018-08-04
75,123,7548906-20,2018-06-24,27.00,27.00,0.00,3,2018-07-24,2018-07-24
76,123,963253248,2018-06-24,241.00,241.00,0.00,3,2018-07-24,2018-07-25
77,121,97/553,2018-06-25,904.14,904.14,0.00,3,2018-07-25,2018-07-25
78,121,97/522,2018-06-28,1962.13,1762.13,200.00,3,2018-07-28,2018-07-30
79,100,587056,2018-06-30,2184.50,2184.50,0.00,4,2018-08-09,2018-08-07
80,122,989319-467,2018-07-01,2318.03,2318.03,0.00,3,2018-07-31,2018-07-29
81,123,263253265,2018-07-02,26.25,26.25,0.00,3,2018-08-01,2018-07-28
82,94,203339-13,2018-07-05,17.50,17.50,0.00,2,2018-07-25,2018-07-27
83,95,111-92R-10093,2018-07-06,39.77,39.77,0.00,2,2018-07-26,2018-07-22
84,123,963253258,2018-07-06,111.00,111.00,0.00,3,2018-08-05,2018-08-05
85,123,963253271,2018-07-07,158.00,158.00,0.00,3,2018-08-06,2018-08-11
86,123,963253230,2018-07-07,739.20,739.20,0.00,3,2018-08-06,2018-08-06
87,123,963253244,2018-07-08,60.00,60.00,0.00,3,2018-08-07,2018-08-09
88,123,963253239,2018-07-08,147.25,147.25,0.00,3,2018-08-07,2018-08-11
89,72,39104,2018-07-10,85.31,0.00,0.00,3,2018-08-09,NULL
90,123,963253252,2018-07-12,38.75,38.75,0.00,3,2018-08-11,2018-08-11
91,95,111-92R-10095,2018-07-15,32.70,32.70,0.00,2,2018-08-04,2018-08-06
92,117,111897,2018-07-15,16.62,16.62,0.00,3,2018-08-14,2018-08-14
93,123,4-327-7357,2018-07-16,162.75,162.75,0.00,3,2018-08-15,2018-08-11
94,123,963253264,2018-07-18,52.25,0.00,0.00,3,2018-08-17,NULL
95,82,C73-24,2018-07-19,600.00,600.00,0.00,2,2018-08-08,2018-08-13
96,110,P-0259,2018-07-19,26881.40,26881.40,0.00,3,2018-08-18,2018-08-20
97,90,97-1024A,2018-07-20,356.48,356.48,0.00,2,2018-08-09,2018-08-07
98,83,31361833,2018-07-21,579.42,0.00,0.00,2,2018-08-10,NULL
99,123,263253268,2018-07-21,59.97,0.00,0.00,3,2018-08-20,NULL
100,123,263253270,2018-07-22,67.92,0.00,0.00,3,2018-08-21,NULL
101,123,263253273,2018-07-22,30.75,0.00,0.00,3,2018-08-21,NULL
102,110,P-0608,2018-07-23,20551.18,0.00,1200.00,3,2018-08-22,NULL
103,122,989319-417,2018-07-23,2051.59,2051.59,0.00,3,2018-08-22,2018-08-24
104,123,263253243,2018-07-23,44.44,44.44,0.00,3,2018-08-22,2018-08-24
105,106,9982771,2018-07-24,503.20,0.00,0.00,3,2018-08-23,NULL
106,110,0-2060,2018-07-24,23517.58,21221.63,2295.95,3,2018-08-23,2018-08-27
107,122,989319-447,2018-07-24,3689.99,3689.99,0.00,3,2018-08-23,2018-08-19
108,123,963253240,2018-07-24,67.00,67.00,0.00,3,2018-08-23,2018-08-23
109,121,97/222,2018-07-25,1000.46,1000.46,0.00,3,2018-08-24,2018-08-22
110,80,134116,2018-07-28,90.36,0.00,0.00,2,2018-08-17,NULL
111,123,263253257,2018-07-30,22.57,22.57,0.00,3,2018-08-29,2018-09-03
112,110,0-2436,2018-07-31,10976.06,0.00,0.00,3,2018-08-30,NULL
113,37,547480102,2018-08-01,224.00,0.00,0.00,3,2018-08-31,NULL
114,123,963253249,2018-08-02,127.75,127.75,0.00,3,2018-09-01,2018-09-04
115,32,AX-014-027,2018-08-01,434.58,391.12,43.46,2,2018-08-31,NULL
